experiment_id,run_id,timestep,time_minutes,worker_id,worker_role,heart_rate,skin_temperature,spo2,accelerometer_magnitude,approximate_location,activity_level,simulated_event_type,is_critical_event,risk_score,generated_alert,recommendation,effective_threshold,communication_latency_ms,processing_latency_ms,total_latency_ms,packet_loss,energy_consumption_mj,computational_load,local_processing_ratio,external_transmission_ratio,privacy_exposure_score,security_risk_score,transparency_score,explainability_available,unauthorized_access_probability,unauthorized_access,data_tampering_probability,data_tampered,attack_propagation_risk,dete4cpes_overhead_ms,applied_dest_effects
EXP_20260507_150938_4800d9,1,0,0.0,1,nurse,91.008,37.252,96.357,1.42,Ward-B-R08,0.537,none,False,0.1143,False,none,0.5,58.621,15.151,73.772,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,2,technician,87.598,36.905,96.332,1.071,Surgery-R08,0.25,none,False,0.1271,False,none,0.5,48.727,18.084,66.81,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,3,technician,93.113,37.351,95.446,1.081,Radiology-R01,0.416,none,False,0.135,False,none,0.5,48.907,12.355,61.262,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,4,physician,119.599,38.253,96.589,1.434,Emergency-R13,0.383,heat_stress,True,0.3724,False,none,0.5,54.543,14.044,68.588,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,5,physician,94.16,36.81,95.231,1.98,Laboratory-R12,0.693,none,False,0.1684,False,none,0.5,45.654,15.429,61.083,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,6,technician,98.921,37.37,97.401,2.022,Surgery-R06,0.528,none,False,0.2625,False,none,0.5,48.291,14.393,62.683,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,7,cleaning_staff,92.846,36.795,95.708,1.464,Emergency-R01,0.581,none,False,0.1809,False,none,0.5,50.982,12.737,63.72,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,0,0.0,8,porter,91.761,36.943,96.316,1.117,ICU-R12,0.458,none,False,0.157,False,none,0.5,41.496,15.241,56.736,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,1,nurse,92.446,37.295,96.326,1.411,Radiology-R11,0.537,none,False,0.123,False,none,0.5,43.422,13.817,57.239,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,2,technician,88.972,36.904,96.122,0.75,Surgery-R15,0.301,none,False,0.1357,False,none,0.5,59.834,12.985,72.82,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,3,technician,96.461,37.428,95.053,1.238,Radiology-R02,0.512,none,False,0.1708,False,none,0.5,54.429,15.679,70.108,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,4,physician,107.947,37.29,96.956,2.461,Emergency-R05,0.659,none,False,0.0,False,no_assessment_packet_loss,0.5,44.709,0.0,44.709,True,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,5,physician,96.288,36.877,95.054,1.861,Laboratory-R01,0.716,none,False,0.1745,False,none,0.5,56.068,13.197,69.265,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,6,technician,98.826,37.397,96.897,1.388,Surgery-R08,0.521,none,False,0.2242,False,none,0.5,41.159,14.528,55.687,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,7,cleaning_staff,96.784,36.781,95.599,1.939,Emergency-R06,0.722,none,False,0.2385,False,none,0.5,60.487,15.543,76.03,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,1,1.0,8,porter,115.702,38.266,95.037,1.769,Ward-A-R11,0.813,heat_stress,True,0.3645,False,none,0.5,48.631,14.006,62.637,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,1,nurse,98.147,37.442,95.98,1.41,Radiology-R11,0.725,none,False,0.1712,False,none,0.5,34.088,13.005,47.093,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,2,technician,90.908,36.977,95.953,1.086,Surgery-R11,0.326,none,False,0.1458,False,none,0.5,39.495,15.656,55.151,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,3,technician,101.225,37.489,95.297,1.051,Ward-B-R15,0.643,none,False,0.1972,False,none,0.5,54.07,11.495,65.566,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,4,physician,116.057,37.933,94.303,1.441,Emergency-R01,0.57,high_fatigue,True,0.3848,False,none,0.5,31.987,14.194,46.181,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,5,physician,101.653,36.994,94.844,2.411,Laboratory-R08,0.947,none,False,0.251,False,none,0.5,56.513,13.321,69.834,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,6,technician,100.884,37.46,97.151,1.775,Surgery-R01,0.534,none,False,0.2626,False,none,0.5,37.131,14.84,51.971,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,7,cleaning_staff,88.508,36.756,95.672,1.711,Emergency-R06,0.376,none,False,0.1673,False,none,0.5,21.314,11.288,32.602,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,True,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,2,2.0,8,porter,93.464,36.947,96.296,0.915,Ward-B-R14,0.523,none,False,0.0979,False,none,0.5,51.487,11.929,63.416,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,1,nurse,106.567,37.586,95.934,2.02,Radiology-R15,1.0,none,False,0.2751,False,none,0.5,48.459,13.627,62.086,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,2,technician,90.282,36.92,95.98,1.009,Surgery-R09,0.248,none,False,0.1373,False,none,0.5,44.51,14.787,59.298,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,3,technician,100.148,37.473,95.028,1.212,Radiology-R06,0.608,none,False,0.1959,False,none,0.5,53.633,13.465,67.098,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,4,physician,130.35,36.506,98.202,5.686,Emergency-R05,0.79,fall,True,0.5028,True,fall_detection_alert,0.5,50.041,13.885,63.926,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,True,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,5,physician,99.948,36.929,95.056,1.621,Laboratory-R10,0.8,none,False,0.1785,False,none,0.5,64.311,12.652,76.963,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,6,technician,105.383,37.737,94.681,1.284,Surgery-R06,0.352,high_fatigue,True,0.3002,False,none,0.5,47.567,14.515,62.082,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,7,cleaning_staff,89.232,36.774,95.745,0.817,Emergency-R15,0.408,none,False,0.1505,False,none,0.5,37.482,13.848,51.33,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,3,3.0,8,porter,91.664,36.898,96.221,1.009,Ward-A-R06,0.434,none,False,0.085,False,none,0.5,60.172,13.738,73.91,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,1,nurse,100.596,37.501,95.611,0.752,Radiology-R13,0.681,none,False,0.191,False,none,0.5,53.748,12.614,66.361,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,2,technician,90.642,36.937,95.413,1.369,Surgery-R04,0.269,none,False,0.154,False,none,0.5,49.185,14.377,63.561,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,3,technician,96.657,37.441,95.29,1.541,Radiology-R12,0.431,none,False,0.1704,False,none,0.5,45.537,12.201,57.738,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,4,physician,105.673,37.363,96.608,0.66,Emergency-R09,0.396,none,False,0.2375,False,none,0.5,49.804,16.227,66.031,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,5,physician,98.803,36.935,94.718,1.937,Radiology-R01,0.722,none,False,0.1974,False,none,0.5,39.454,18.142,57.596,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,6,technician,103.346,37.467,97.122,1.955,Pharmacy-R12,0.548,none,False,0.2149,False,none,0.5,55.781,17.084,72.865,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,7,cleaning_staff,95.812,36.815,95.61,1.341,Emergency-R01,0.629,none,False,0.1935,False,none,0.5,29.001,14.612,43.613,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,4,4.0,8,porter,95.877,37.028,96.052,1.042,ICU-R03,0.581,none,False,0.1834,False,none,0.5,67.068,16.767,83.836,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,5,5.0,1,nurse,102.152,37.553,95.746,1.522,Ward-A-R15,0.699,none,False,0.2074,False,none,0.5,52.928,14.039,66.967,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
EXP_20260507_150938_4800d9,1,5,5.0,2,technician,94.346,37.01,95.715,1.064,Surgery-R07,0.371,none,False,0.1684,False,none,0.5,59.164,10.596,69.76,False,0.17975,0.66667,0.35,0.65,0.78,0.58,0.18,False,0.075,False,0.055,False,0.52,0.0,
