experiment_id,run_id,timestep,time_minutes,worker_id,worker_role,heart_rate,skin_temperature,spo2,accelerometer_magnitude,approximate_location,activity_level,simulated_event_type,is_critical_event,risk_score,generated_alert,recommendation,effective_threshold,communication_latency_ms,processing_latency_ms,total_latency_ms,packet_loss,energy_consumption_mj,computational_load,local_processing_ratio,external_transmission_ratio,privacy_exposure_score,security_risk_score,transparency_score,explainability_available,unauthorized_access_probability,unauthorized_access,data_tampering_probability,data_tampered,attack_propagation_risk,dete4cpes_overhead_ms,applied_dest_effects
EXP_20260511_163907_fcada4,1,0,0.0,1,nurse,83.354,37.013,97.435,1.493,Pharmacy-R13,0.548,none,False,0.0756,False,none,0.65,54.574,12.729,67.302,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,2,porter,94.985,36.728,97.307,1.453,Pharmacy-R07,0.632,none,False,0.1145,False,none,0.65,47.979,16.477,64.456,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,3,technician,92.945,37.088,95.196,1.894,Surgery-R07,0.82,none,False,0.2462,False,none,0.65,45.476,14.563,60.039,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,4,porter,105.735,37.007,95.672,1.616,Surgery-R01,0.643,none,False,0.2441,False,none,0.65,44.755,14.034,58.788,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,5,technician,90.607,37.385,95.964,0.738,Laboratory-R03,0.325,none,False,0.1098,False,none,0.65,56.425,13.114,69.538,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,6,porter,92.736,36.692,95.463,1.257,Emergency-R04,0.562,none,False,0.181,False,none,0.65,63.722,13.408,77.13,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,7,porter,105.234,37.109,93.833,0.844,Radiology-R13,0.471,high_fatigue,True,0.2007,False,none,0.65,65.347,14.475,79.821,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,8,porter,96.99,36.866,96.551,1.186,Emergency-R01,0.6,none,False,0.1863,False,none,0.65,46.926,14.064,60.989,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,9,technician,102.952,37.053,98.933,1.13,Ward-A-R07,0.602,none,False,0.1433,False,none,0.65,53.795,15.743,69.538,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,True,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,10,nurse,75.677,37.918,98.646,0.681,ICU-R01,0.606,none,False,0.2271,False,none,0.65,57.789,15.76,73.55,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,True,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
EXP_20260511_163907_fcada4,1,0,0.0,11,cleaning_staff,91.274,36.658,94.872,1.205,Emergency-R06,0.416,none,False,0.1799,False,none,0.65,35.167,14.056,49.223,False,0.22475,0.66667,0.35,0.65,0.65,0.48,0.18,False,0.075,False,0.055,False,0.52,8.0,Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ
